dataset,QuestionID,general_entailment_score,task_aware_entailment_score,delta_entailment_score,general_contradiction_score,task_aware_contradiction_score,delta_contradiction_score,contradiction_reduction,general_obligation_coverage_score,task_aware_obligation_coverage_score,delta_obligation_coverage_score,general_composite_score,task_aware_composite_score,delta_composite_score,composite_winner
obliqa,56e467b7-dc75-40cf-87bb-8080b57ca7a6,0.00757,0.00757,0.0,0.99614,0.99614,0.0,0.0,0.0,0.0,0.0,0.00381,0.00381,0.0,equal
obliqa,59d3b94a-7c6d-4e6f-a03f-412391efcca4,0.85652,0.67429,-0.18223,0.28169,0.52316,0.24146999999999996,-0.24146999999999996,0.11764705882352941,0.11764705882352941,0.0,0.56416,0.42293,-0.14123000000000002,general
obliqa,59d5b5e5-ae51-4e2a-adcd-5eecc40f0bfa,0.52315,0.63942,0.11626999999999998,0.17423,0.01213,-0.1621,0.1621,0.11764705882352941,0.058823529411764705,-0.058823529411764705,0.48886,0.56204,0.07317999999999997,task_aware
obliqa,5a0b47c4-77ae-4abf-9601-d321863466c2,0.98425,0.98667,0.0024200000000000887,0.05196,0.01731,-0.03465,0.03465,0.0,0.0,0.0,0.6441,0.65645,0.012349999999999972,task_aware
obliqa,5b035008-1c3b-40f5-85a0-6732f99a4b0b,0.99219,0.98952,-0.002670000000000061,0.35738,0.41078,0.0534,-0.0534,0.23809523809523808,0.3333333333333333,0.09523809523809523,0.6243,0.63736,0.013060000000000072,task_aware
obliqa,5c0f883e-0f5b-484c-b0ef-be055d96fbc6,0.99265,0.9807,-0.011950000000000016,0.79437,0.45431,-0.34006000000000003,0.34006000000000003,0.0,0.11764705882352941,0.11764705882352941,0.39943,0.54801,0.14858,task_aware
obliqa,5c834c98-605a-4c46-9761-5dcbb564ca1b,0.34334,0.35816,0.01482,0.67997,0.68589,0.005920000000000036,-0.005920000000000036,0.0,0.0625,0.0625,0.22112,0.24492,0.023799999999999988,task_aware
obliqa,5caf4dc7-aa36-4856-961f-3d0b2b0e7755,0.46563,0.0103,-0.45533,0.94506,0.99346,0.0484,-0.0484,0.0,0.0,0.0,0.17352,0.00561,-0.16791,general
obliqa,5cecafa2-dbcd-429f-847b-1a428143dd3e,0.01948,0.01948,0.0,0.99587,0.99587,0.0,0.0,0.0,0.0,0.0,0.00787,0.00787,0.0,equal
obliqa,628c2ab4-e071-4818-bae5-aa6f6193010f,0.98315,0.97197,-0.011179999999999968,0.05127,0.04629,-0.004980000000000005,0.004980000000000005,0.034482758620689655,0.034482758620689655,0.0,0.65545,0.65339,-0.0020599999999999508,general
obliqa,63ce5cfb-e512-4bb6-90c0-8fde2972d944,0.53337,0.41535,-0.11802000000000001,0.00526,0.03263,0.02737,-0.02737,0.15384615384615385,0.11538461538461539,-0.038461538461538464,0.56065,0.49937,-0.06128,general
obliqa,64afda22-1279-47f5-bc91-82609d2e741f,0.94441,0.79178,-0.15262999999999993,0.12292,0.13132,0.00839999999999999,-0.00839999999999999,0.0,0.0,0.0,0.60716,0.55349,-0.053669999999999995,general
obliqa,64ffe606-8491-4601-a361-2aa369b8b5e9,0.33123,0.66702,0.3357899999999999,0.15487,0.0599,-0.09497,0.09497,0.038461538461538464,0.038461538461538464,0.0,0.40494,0.54853,0.14358999999999994,task_aware
obliqa,65fde3e1-8d47-47a9-9163-c0fe9681d5bb,0.71768,0.87101,0.15332999999999997,0.5713,0.63227,0.06096999999999997,-0.06096999999999997,0.24,0.28,0.040000000000000036,0.46213,0.50625,0.04411999999999999,task_aware
obliqa,676ff8cf-b8d7-4929-a183-899a6546a2fe,0.03114,0.03114,0.0,0.99552,0.99552,0.0,0.0,0.0,0.0,0.0,0.01187,0.01187,0.0,equal
obliqa,67a3d634-6906-413a-8d2f-c4d95236f2a0,0.75694,0.75019,-0.006749999999999923,0.79562,0.81079,0.015170000000000017,-0.015170000000000017,0.0273972602739726,0.0273972602739726,0.0,0.32957,0.32227,-0.007299999999999973,general
obliqa,67a7dd45-6989-4acf-837f-0f762f5de1ce,0.01771,0.01771,0.0,0.98511,0.98511,0.0,0.0,0.0,0.0,0.0,0.01087,0.01087,0.0,equal
obliqa,684dfe65-c4b5-4c83-9c0c-a254d54c99fd,0.23257,0.44076,0.20819,0.44365,0.14025,-0.3034,0.3034,0.0,0.0,0.0,0.26297,0.4335,0.17053000000000001,task_aware
obliqa,68cac915-beda-496e-ad6e-11fc4d30aa5a,0.24763,0.03088,-0.21675,0.60318,0.99568,0.39249999999999996,-0.39249999999999996,0.0,0.0,0.0,0.21482,0.01173,-0.20309000000000002,general
obliqa,6909d062-7928-4d5b-ba3b-d6eb259acd92,0.02533,0.04236,0.017030000000000003,0.66949,0.79298,0.12348999999999999,-0.12348999999999999,0.047619047619047616,0.0,-0.047619047619047616,0.13449,0.08313,-0.05136,general
obliqa,6b166127-f60d-47f6-a316-4d491261ed50,0.03626,0.00447,-0.03179,0.36472,0.02,-0.34471999999999997,0.34471999999999997,0.13636363636363635,0.045454545454545456,-0.0909090909090909,0.2693,0.34331,0.07401000000000002,task_aware
obliqa,6b8c3f14-0dc1-45c9-82eb-29e0d857b4db,0.79408,0.42828,-0.3658,0.00758,0.0401,0.03251999999999999,-0.03251999999999999,0.32142857142857145,0.32142857142857145,0.0,0.70264,0.56987,-0.13277000000000005,general
